iter	Passed	Remaining
0	21	21843
1	40	20044
2	58	19370
3	76	19094
4	95	18925
5	113	18826
6	132	18759
7	150	18688
8	169	18620
9	187	18581
10	205	18439
11	222	18293
12	240	18225
13	262	18452
14	285	18716
15	305	18800
16	323	18687
17	340	18578
18	357	18437
19	373	18291
20	389	18148
21	405	18047
22	422	17938
23	439	17887
24	456	17809
25	472	17712
26	488	17608
27	505	17545
28	521	17457
29	537	17368
30	553	17303
31	569	17228
32	586	17172
33	601	17100
34	617	17021
35	633	16966
36	649	16903
37	665	16857
38	682	16818
39	698	16759
40	714	16717
41	730	16666
42	747	16636
43	763	16584
44	779	16545
45	795	16499
46	811	16449
47	827	16404
48	843	16368
49	859	16329
50	876	16301
51	892	16267
52	908	16230
53	924	16188
54	940	16151
55	956	16117
56	972	16081
57	987	16042
58	1003	16004
59	1019	15972
60	1035	15939
61	1051	15909
62	1068	15889
63	1084	15858
64	1101	15837
65	1116	15804
66	1132	15776
67	1148	15743
68	1164	15710
69	1180	15679
70	1196	15652
71	1211	15620
72	1228	15599
73	1244	15579
74	1261	15557
75	1277	15530
76	1293	15505
77	1309	15479
78	1325	15452
79	1341	15424
80	1357	15403
81	1373	15376
82	1389	15349
83	1405	15329
84	1421	15303
85	1437	15282
86	1453	15254
87	1469	15227
88	1486	15220
89	1503	15205
90	1519	15181
91	1535	15155
92	1552	15140
93	1568	15121
94	1585	15101
95	1600	15075
96	1616	15049
97	1632	15028
98	1648	15007
99	1665	14989
100	1681	14970
101	1697	14947
102	1713	14925
103	1729	14904
104	1746	14885
105	1762	14861
106	1778	14842
107	1794	14824
108	1811	14804
109	1827	14783
110	1843	14760
111	1858	14737
112	1874	14714
113	1890	14692
114	1906	14670
115	1921	14646
116	1937	14622
117	1953	14598
118	1969	14580
119	1984	14551
120	1999	14525
121	2015	14503
122	2031	14483
123	2047	14463
124	2063	14447
125	2080	14432
126	2097	14417
127	2114	14402
128	2130	14382
129	2145	14359
130	2161	14337
131	2177	14318
132	2193	14298
133	2209	14276
134	2225	14256
135	2241	14239
136	2257	14219
137	2273	14203
138	2289	14183
139	2305	14163
140	2321	14146
141	2338	14128
142	2354	14108
143	2370	14088
144	2385	14067
145	2401	14047
146	2417	14028
147	2433	14010
148	2449	13992
149	2466	13974
150	2482	13955
151	2498	13936
152	2513	13916
153	2529	13896
154	2545	13876
155	2561	13857
156	2578	13844
157	2594	13823
158	2610	13806
159	2626	13788
160	2642	13768
161	2658	13752
162	2673	13727
163	2690	13713
164	2706	13694
165	2721	13672
166	2736	13652
167	2752	13631
168	2769	13616
169	2784	13595
170	2803	13592
171	2824	13598
172	2843	13595
173	2859	13573
174	2875	13553
175	2891	13535
176	2907	13517
177	2923	13500
178	2939	13480
179	2954	13458
180	2969	13438
181	2985	13417
182	3000	13397
183	3016	13378
184	3031	13357
185	3047	13336
186	3062	13316
187	3078	13298
188	3094	13277
189	3109	13257
190	3126	13242
191	3142	13225
192	3158	13205
193	3174	13188
194	3192	13180
195	3211	13172
196	3226	13152
197	3241	13129
198	3257	13110
199	3272	13090
200	3287	13067
201	3301	13044
202	3317	13023
203	3336	13018
204	3352	13000
205	3367	12978
206	3383	12960
207	3398	12941
208	3414	12921
209	3428	12899
210	3444	12879
211	3460	12861
212	3475	12841
213	3491	12823
214	3507	12805
215	3523	12787
216	3539	12771
217	3555	12752
218	3571	12735
219	3586	12715
220	3601	12696
221	3617	12678
222	3633	12661
223	3649	12643
224	3665	12624
225	3680	12604
226	3694	12580
227	3709	12561
228	3725	12542
229	3741	12525
230	3756	12505
231	3772	12488
232	3788	12470
233	3804	12452
234	3819	12434
235	3837	12421
236	3856	12416
237	3873	12401
238	3888	12382
239	3905	12366
240	3921	12348
241	3936	12330
242	3952	12311
243	3968	12294
244	3984	12278
245	4000	12263
246	4016	12246
247	4032	12226
248	4047	12207
249	4063	12189
250	4079	12172
251	4094	12154
252	4111	12138
253	4126	12120
254	4142	12102
255	4157	12083
256	4173	12067
257	4189	12048
258	4204	12030
259	4220	12010
260	4236	11994
261	4252	11977
262	4267	11958
263	4282	11939
264	4298	11922
265	4314	11905
266	4330	11887
267	4345	11870
268	4361	11852
269	4378	11838
270	4397	11829
271	4413	11811
272	4428	11793
273	4444	11776
274	4461	11761
275	4480	11752
276	4496	11735
277	4511	11718
278	4527	11698
279	4542	11681
280	4559	11666
281	4575	11650
282	4592	11634
283	4607	11616
284	4623	11600
285	4639	11582
286	4654	11563
287	4669	11544
288	4684	11525
289	4700	11507
290	4716	11490
291	4732	11474
292	4747	11456
293	4763	11438
294	4778	11420
295	4795	11404
296	4810	11387
297	4826	11369
298	4842	11352
299	4857	11334
300	4873	11316
301	4890	11303
302	4909	11293
303	4925	11276
304	4941	11259
305	4956	11242
306	4972	11224
307	4986	11203
308	5001	11183
309	5017	11167
310	5033	11150
311	5048	11133
312	5063	11114
313	5079	11097
314	5094	11079
315	5112	11066
316	5133	11060
317	5153	11052
318	5170	11037
319	5186	11022
320	5202	11005
321	5217	10986
322	5233	10968
323	5249	10952
324	5264	10934
325	5280	10916
326	5295	10898
327	5311	10882
328	5327	10864
329	5343	10848
330	5359	10831
331	5374	10813
332	5389	10795
333	5405	10778
334	5421	10761
335	5439	10749
336	5457	10736
337	5472	10718
338	5488	10701
339	5506	10689
340	5522	10671
341	5537	10654
342	5553	10637
343	5569	10620
344	5584	10602
345	5599	10584
346	5615	10566
347	5631	10550
348	5646	10533
349	5662	10515
350	5678	10500
351	5693	10480
352	5708	10462
353	5723	10444
354	5739	10427
355	5753	10408
356	5769	10390
357	5784	10373
358	5800	10355
359	5815	10338
360	5830	10320
361	5845	10302
362	5861	10286
363	5877	10270
364	5893	10252
365	5909	10235
366	5924	10218
367	5939	10200
368	5957	10186
369	5976	10175
370	5991	10158
371	6007	10141
372	6021	10121
373	6037	10105
374	6053	10088
375	6067	10070
376	6084	10054
377	6100	10037
378	6115	10020
379	6130	10002
380	6146	9986
381	6162	9969
382	6178	9953
383	6194	9937
384	6209	9919
385	6225	9903
386	6241	9886
387	6257	9869
388	6273	9853
389	6288	9836
390	6304	9819
391	6320	9803
392	6335	9786
393	6349	9766
394	6365	9749
395	6381	9733
396	6396	9716
397	6412	9699
398	6428	9683
399	6444	9667
400	6460	9651
401	6477	9635
402	6495	9621
403	6513	9608
404	6528	9591
405	6544	9574
406	6559	9557
407	6575	9540
408	6589	9522
409	6604	9504
410	6620	9487
411	6635	9470
412	6651	9453
413	6666	9436
414	6681	9418
415	6697	9402
416	6713	9386
417	6727	9367
418	6743	9350
419	6757	9332
420	6773	9315
421	6789	9299
422	6805	9283
423	6821	9266
424	6837	9250
425	6852	9233
426	6869	9218
427	6885	9201
428	6901	9185
429	6917	9169
430	6932	9151
431	6948	9136
432	6964	9119
433	6980	9103
434	6996	9087
435	7012	9070
436	7032	9060
437	7048	9044
438	7065	9028
439	7080	9011
440	7095	8994
441	7111	8977
442	7127	8961
443	7142	8944
444	7158	8927
445	7174	8911
446	7189	8894
447	7204	8876
448	7218	8858
449	7234	8842
450	7249	8825
451	7265	8808
452	7280	8790
453	7295	8774
454	7311	8757
455	7327	8741
456	7342	8724
457	7358	8708
458	7374	8692
459	7391	8676
460	7407	8660
461	7422	8643
462	7437	8626
463	7453	8609
464	7468	8593
465	7484	8577
466	7501	8561
467	7516	8544
468	7531	8527
469	7546	8510
470	7564	8496
471	7583	8482
472	7598	8465
473	7614	8449
474	7630	8434
475	7646	8417
476	7661	8399
477	7676	8383
478	7691	8365
479	7706	8349
480	7722	8332
481	7738	8316
482	7754	8299
483	7769	8283
484	7785	8267
485	7800	8250
486	7814	8231
487	7829	8214
488	7844	8197
489	7859	8180
490	7874	8163
491	7890	8146
492	7906	8130
493	7921	8114
494	7937	8097
495	7953	8081
496	7968	8064
497	7983	8047
498	7997	8030
499	8012	8012
500	8028	7996
501	8043	7979
502	8058	7962
503	8078	7950
504	8095	7935
505	8111	7919
506	8127	7902
507	8142	7886
508	8157	7868
509	8173	7852
510	8188	7835
511	8204	7819
512	8218	7801
513	8233	7785
514	8249	7769
515	8266	7753
516	8281	7737
517	8297	7720
518	8312	7703
519	8327	7686
520	8342	7670
521	8357	7652
522	8372	7636
523	8391	7622
524	8409	7608
525	8425	7592
526	8441	7576
527	8456	7559
528	8474	7545
529	8492	7530
530	8507	7514
531	8523	7498
532	8539	7482
533	8554	7465
534	8570	7448
535	8585	7432
536	8602	7416
537	8618	7400
538	8634	7384
539	8649	7368
540	8665	7352
541	8681	7335
542	8696	7319
543	8712	7303
544	8727	7286
545	8743	7270
546	8759	7254
547	8775	7238
548	8793	7223
549	8811	7209
550	8827	7193
551	8843	7176
552	8861	7162
553	8877	7146
554	8893	7130
555	8907	7113
556	8922	7096
557	8937	7079
558	8954	7063
559	8970	7048
560	8986	7032
561	9001	7015
562	9017	6999
563	9032	6982
564	9048	6966
565	9061	6948
566	9076	6931
567	9091	6914
568	9107	6898
569	9122	6881
570	9137	6865
571	9153	6849
572	9169	6833
573	9185	6817
574	9201	6801
575	9217	6785
576	9232	6768
577	9247	6751
578	9264	6736
579	9279	6719
580	9294	6702
581	9310	6687
582	9327	6671
583	9343	6655
584	9359	6639
585	9376	6624
586	9396	6611
587	9410	6594
588	9426	6577
589	9443	6562
590	9458	6545
591	9475	6530
592	9490	6513
593	9506	6497
594	9522	6481
595	9538	6465
596	9554	6449
597	9570	6434
598	9586	6417
599	9603	6402
600	9619	6386
601	9635	6370
602	9650	6353
603	9663	6335
604	9679	6319
605	9695	6303
606	9711	6287
607	9726	6271
608	9742	6255
609	9758	6238
610	9774	6222
611	9790	6206
612	9805	6190
613	9820	6174
614	9837	6158
615	9854	6142
616	9873	6128
617	9894	6115
618	9913	6101
619	9930	6086
620	9946	6070
621	9963	6054
622	9979	6039
623	9995	6023
624	10014	6008
625	10032	5993
626	10049	5978
627	10064	5961
628	10080	5945
629	10096	5929
630	10112	5913
631	10128	5897
632	10144	5881
633	10160	5865
634	10175	5849
635	10191	5832
636	10206	5816
637	10222	5800
638	10239	5784
639	10257	5769
640	10273	5753
641	10287	5736
