,# YTID,start_seconds,end_seconds,positive_labels,laughter,not_laughter
367,--L3BCCcGEw,400.0,410.0,"/m/028ght,/m/09x0r",True,False
372,--LGvpWGBAI,30.0,40.0,"/m/04rlf,/m/053hz1,/t/dd00127",True,False
578,--Z4X0SQxBc,290.0,300.0,/m/028ght,True,False
1096,-06IiayZAEs,10.0,20.0,"/m/053hz1,/m/09x0r",True,False
1832,-0saBttFf3M,24.0,34.0,"/m/028ght,/m/09x0r",True,False
2120,-1AFJlxFF5o,30.0,40.0,"/m/03qtwd,/m/053hz1",True,False
2510,-1XucGQTidc,0.0,10.0,"/m/03qtwd,/m/053hz1",True,False
2934,-1zGTyKQnvw,510.0,520.0,/m/053hz1,True,False
2972,-20b44QDNAs,140.0,150.0,/m/028ght,True,False
4719,-3qGCm_qUwU,50.0,60.0,"/m/04rlf,/m/053hz1,/m/09x0r,/m/0glt670",True,False
4975,-45BHWgbs08,30.0,40.0,"/m/04rlf,/m/053hz1,/m/09x0r",True,False
5160,-4Ihd9_fGnw,460.0,470.0,"/m/03qtwd,/m/04rlf,/m/053hz1",True,False
5180,-4KDusm_mD0,30.0,40.0,"/m/028ght,/m/09x0r",True,False
6446,-5aZHZ-9xyg,370.0,380.0,/m/028ght,True,False
6871,-60bBlFvY4U,190.0,200.0,"/m/03qtwd,/m/053hz1,/t/dd00135",True,False
7232,-6NxXfwuvwI,20.0,30.0,/m/028ght,True,False
7454,-6bTvuXsIXI,30.0,40.0,"/m/028ght,/m/04rlf,/m/053hz1",True,False
7815,-6ylSbBDnBo,30.0,40.0,"/m/04rlf,/m/053hz1",True,False
7991,-79-Z12DW1w,30.0,40.0,"/m/03qtwd,/m/053hz1",True,False
8462,-7cMtsWTtnQ,200.0,210.0,/m/028ght,True,False
8662,-7prSwkSezc,50.0,60.0,"/m/03qtwd,/m/053hz1,/t/dd00135",True,False
9132,-8LGxhxYTfI,10.0,20.0,"/m/03qtwd,/m/053hz1",True,False
9427,-8buqxazv8s,0.0,10.0,"/m/03qtwd,/m/053hz1,/t/dd00135",True,False
9627,-8oqBwlVXDM,30.0,40.0,"/m/028ght,/m/05zppz",True,False
10397,-9b-N3vQj2k,30.0,40.0,"/m/04rlf,/m/053hz1",True,False
10422,-9df2qdbIJM,0.0,10.0,/m/028ght,True,False
10753,-9yppEpEnVo,150.0,160.0,/m/028ght,True,False
10978,-ACUXV4jq8Q,260.0,270.0,"/m/015lz1,/m/028ght",True,False
11574,-AlpLvWoLKs,30.0,40.0,"/m/028ght,/m/053hz1,/m/07qfr4h,/m/07rkbfh,/m/09x0r",True,False
11576,-AltV1ftMk8,170.0,180.0,"/m/028ght,/m/04rlf,/m/04szw,/m/05pd6,/m/0ggq0m",True,False
12032,-BDnNKTbJC8,30.0,40.0,"/m/028ght,/m/04rlf",True,False
13013,-CAQO_ogNlY,20.0,30.0,/m/053hz1,True,False
13157,-CJGj3-kNQY,50.0,60.0,"/m/04rlf,/m/053hz1,/m/09x0r",True,False
13754,-Ctr9bkgYpE,20.0,30.0,"/m/04rlf,/m/053hz1,/m/07p6fty",True,False
14022,-D9ssu55Beo,200.0,210.0,"/m/03qtwd,/m/053hz1",True,False
15370,-E_DO6q-0kc,210.0,220.0,"/m/03qtwd,/m/053hz1",True,False
16366,-F_xGzgytrY,180.0,190.0,"/m/04rlf,/m/053hz1,/m/09x0r",True,False
16675,-FtSMKhI2FA,60.0,70.0,"/m/04rlf,/m/053hz1,/m/0l14jd",True,False
16757,-Fyb0KlZxOc,90.0,100.0,"/m/03qtwd,/m/04rlf,/m/053hz1,/m/09x0r,/m/0k65p,/m/0ytgt",True,False
17090,-GJOTyij90U,90.0,100.0,"/m/03qtwd,/m/053hz1",True,False
18578,-HpLnN-W4KU,30.0,40.0,"/m/03qtwd,/m/053hz1",True,False
18744,-I0MkCWQrKg,120.0,130.0,"/m/02bk07,/m/03qtwd,/m/04rlf,/m/053hz1,/m/0y4f8",True,False
19009,-II4AmLB-D4,83.0,93.0,"/m/04rlf,/m/053hz1",True,False
19241,-IY02Wq8YnA,290.0,300.0,"/m/03qtwd,/m/053hz1",True,False
19310,-IbZKRladtA,30.0,40.0,"/m/04rlf,/m/053hz1",True,False
19544,-IqjVd6nmWY,130.0,140.0,"/m/053hz1,/m/09x0r",True,False
19836,-J91N-o_ToQ,200.0,210.0,"/m/053hz1,/m/09x0r",True,False
20201,-JZ0uT_7kX4,30.0,40.0,"/m/03qtwd,/m/04rlf,/m/053hz1,/m/07qfr4h,/m/09x0r",True,False
20351,-JhCbFDDUiw,30.0,40.0,"/m/03qtwd,/m/053hz1",True,False
20510,-JqxUTqhhLU,140.0,150.0,"/m/028ght,/m/09x0r",True,False
20531,-JsTYCfV9YI,190.0,200.0,"/m/028ght,/m/04szw,/m/0mkg",True,False
20620,-JyWgRhvP6g,480.0,490.0,"/m/028ght,/m/04rlf",True,False
21358,-KecFw2lO5g,170.0,180.0,"/m/028ght,/m/09x0r",True,False
21481,-KmqagJg6lM,30.0,40.0,"/m/028ght,/m/04rlf,/m/053hz1,/m/09x0r",True,False
22883,-MAMeEiIYOo,420.0,430.0,/m/028ght,True,False
22904,-MBivbS4-m8,10.0,20.0,"/m/04rlf,/m/053hz1,/m/09x0r",True,False
22938,-MDz2feRmOU,10.0,20.0,/m/053hz1,True,False
24382,-Ne51BFpF9M,10.0,20.0,/m/028ght,True,False
24489,-Nku2Rts9wE,10.0,20.0,"/m/03qtwd,/m/053hz1",True,False
24616,-NtQYNr2qHA,30.0,40.0,"/m/03qtwd,/m/053hz1",True,False
24639,-Nv4YKl4AIc,30.0,40.0,"/m/03qtwd,/m/053hz1",True,False
24642,-NvSFQGFI0k,20.0,30.0,"/m/03qtwd,/m/04rlf,/m/053hz1",True,False
24790,-O3DGJStrJU,0.0,10.0,"/m/03qtwd,/m/053hz1",True,False
25042,-OJKZqB90j4,20.0,30.0,"/m/03qtwd,/m/053hz1",True,False
25184,-OSYjJ3Tkqw,500.0,510.0,/m/028ght,True,False
26006,-PJMZUk0qjs,2.0,12.0,/m/028ght,True,False
26168,-PVOPc31MCY,20.0,30.0,"/m/03qtwd,/m/053hz1,/m/074ft,/m/07qnq_y",True,False
26269,-PaEEZbxWlw,10.0,20.0,"/m/03qtwd,/m/053hz1",True,False
26476,-Pmvv9YFvsQ,10.0,20.0,"/m/028ght,/m/09x0r",True,False
27711,-R0H-F4VZrI,0.0,10.0,"/m/03qtwd,/m/053hz1,/t/dd00135",True,False
28725,-S4ApBVg1pI,340.0,350.0,"/m/03qtwd,/m/053hz1",True,False
29649,-T1Jan8xzhI,160.0,170.0,"/m/03qtwd,/m/04rlf,/m/053hz1,/m/09x0r",True,False
29752,-T8ZBK2m20E,310.0,320.0,/m/028ght,True,False
29999,-TOKz6Y7fYc,4.0,14.0,"/m/053hz1,/m/09x0r,/t/dd00128",True,False
30371,-Tm4SYvYEYc,0.0,10.0,"/m/053hz1,/m/09x0r",True,False
31126,-U_U5OMIkKI,100.0,110.0,"/m/03qtwd,/m/053hz1,/t/dd00135",True,False
31881,-VMDgIjlALE,10.0,20.0,/m/053hz1,True,False
32410,-VxOa2lmTuI,30.0,40.0,"/m/04rlf,/m/053hz1,/m/09x0r",True,False
33295,-Wqrvzcoe7k,90.0,100.0,"/m/028ght,/m/04rlf,/m/09x0r",True,False
33378,-Ww0WfVNlic,30.0,40.0,"/m/03qtwd,/m/053hz1",True,False
33938,-XW7n5RLvxY,20.0,30.0,"/m/04rlf,/m/053hz1",True,False
34287,-XtQaVNpXQE,80.0,90.0,"/m/03qtwd,/m/04rlf,/m/053hz1,/m/09x0r",True,False
34605,-YDgnw597_g,30.0,40.0,"/m/028ght,/m/03qtwd,/m/07pyf11,/m/07qfr4h,/m/0l15bq",True,False
34714,-YKCuLVqIWQ,380.0,390.0,/m/028ght,True,False
34780,-YOjIgYspsY,30.0,40.0,"/m/03qtwd,/m/053hz1",True,False
34871,-YUhs4r8f2A,30.0,40.0,"/m/028ght,/m/09x0r",True,False
35423,-Z2jaqldYek,50.0,60.0,"/m/04rlf,/m/053hz1",True,False
35620,-ZEamy4EmwA,30.0,40.0,"/m/03qtwd,/m/053hz1,/m/09x0r",True,False
35917,-ZWgW2EKKEg,100.0,110.0,/m/053hz1,True,False
36384,-Zy6BA2R5nw,30.0,40.0,"/m/03qtwd,/m/053hz1",True,False
36846,-_RgQWbm61k,30.0,40.0,"/m/04rlf,/m/053hz1,/m/0l15bq",True,False
36911,-_W4l5XED1c,30.0,40.0,"/m/03qtwd,/m/04rlf,/m/053hz1",True,False
37825,-aSVywPn1f4,30.0,40.0,"/m/04rlf,/m/053hz1,/m/09x0r",True,False
38470,-b6Tl35nYqw,220.0,230.0,/m/028ght,True,False
38711,-bMGXC1AcWA,30.0,40.0,"/m/028ght,/m/09x0r,/m/0c1dj",True,False
38824,-bUFzBa8rKw,100.0,110.0,"/m/04rlf,/m/053hz1",True,False
40500,-dCb0BZs9qs,120.0,130.0,"/m/03qtwd,/m/053hz1",True,False
40776,-dVc1dU3Qv4,30.0,40.0,"/m/04rlf,/m/053hz1,/m/09x0r",True,False
41573,-eMje2tZKTo,10.0,20.0,"/m/053hz1,/m/09x0r",True,False
42112,-etr03BsiO0,40.0,50.0,"/m/015lz1,/m/053hz1,/m/074ft",True,False
42566,-fPhusMOnME,30.0,40.0,"/m/03qtwd,/m/04rlf,/m/053hz1,/m/07qfr4h,/m/09x0r",True,False
42831,-fjg3-sh_Wg,30.0,40.0,"/m/028ght,/m/053hz1,/m/07qfr4h,/m/09x0r,/m/0l15bq",True,False
43505,-gOiZP7fXoE,20.0,30.0,"/m/04rlf,/m/053hz1",True,False
43659,-g_C2ZREHdo,0.0,10.0,"/m/018w8,/m/04rlf,/m/053hz1,/m/09x0r",True,False
45532,-iZZjLiyoK8,30.0,40.0,"/m/03qtwd,/m/053hz1,/m/09x0r",True,False
46112,-jCjwUJU0aY,10.0,20.0,"/m/03qtwd,/m/053hz1,/t/dd00135",True,False
46507,-jcvKy-nCtY,0.0,10.0,"/m/03qtwd,/m/053hz1",True,False
47068,-kBV91oPpis,0.0,10.0,"/m/03qtwd,/m/053hz1,/t/dd00135",True,False
47260,-kOVklMNUGM,30.0,40.0,"/m/028ght,/m/09x0r",True,False
47451,-kaGtgIW35I,30.0,40.0,"/m/03qtwd,/m/053hz1",True,False
47470,-kb7je994aY,30.0,40.0,"/m/053hz1,/m/09x0r",True,False
47911,-l5NKg-E3N4,60.0,70.0,"/m/04rlf,/m/053hz1",True,False
48863,-m7edhWNmd0,30.0,40.0,"/m/03qtwd,/m/053hz1",True,False
48895,-mAA61fsgA0,150.0,160.0,"/m/03qtwd,/m/053hz1",True,False
49323,-mciA1CZzew,240.0,250.0,"/m/01kcd,/m/028ght,/m/04rlf,/m/04szw,/m/07c6l",True,False
49924,-nGysROyDXs,260.0,270.0,/m/028ght,True,False
50804,-oDkKRZFMOU,30.0,40.0,"/m/03qtwd,/m/053hz1,/m/09x0r",True,False
51019,-oRsIHLRon8,30.0,40.0,"/m/04rlf,/m/053hz1",True,False
52533,-q0y6JA_z_o,170.0,180.0,"/m/03qtwd,/m/053hz1",True,False
53256,-qkd62PtuiQ,230.0,240.0,"/m/03qtwd,/m/053hz1,/m/09x0r",True,False
53934,-rUsIC2Us0I,170.0,180.0,"/m/04rlf,/m/053hz1,/m/09x0r",True,False
54371,-rxWFrTlJEY,450.0,460.0,/m/028ght,True,False
54572,-s9JdBpCugE,410.0,420.0,"/m/03qtwd,/m/053hz1",True,False
55616,-tDd8sdNbck,30.0,40.0,/m/028ght,True,False
56236,-tq5uzxkOIE,30.0,40.0,"/m/04rlf,/m/053hz1,/m/09x0r",True,False
57343,-v-7UUm-WAY,30.0,40.0,"/m/028ght,/m/04rlf",True,False
57395,-v2ycwe-Nds,26.0,36.0,"/m/03qtwd,/m/053hz1,/t/dd00135",True,False
57609,-vGsupOhgx4,50.0,60.0,"/m/03qtwd,/m/053hz1,/t/dd00135",True,False
57858,-vXLCUdVc1M,30.0,40.0,"/m/03qtwd,/m/053hz1",True,False
58842,-waN8LN32ZQ,110.0,120.0,"/m/053hz1,/m/09x0r",True,False
59267,-x1zdIPe6Ew,240.0,250.0,"/m/028ght,/m/04rlf",True,False
60522,-yLnBEF-Kz4,30.0,40.0,"/m/03qtwd,/m/04rlf,/m/053hz1,/m/09x0r",True,False
62003,-ztdCX0JY6Y,30.0,40.0,"/m/04rlf,/m/053hz1,/m/0c1dj",True,False
62100,0-0UKKMKiVg,560.0,570.0,/m/053hz1,True,False
62524,0-USZX_YTv4,390.0,400.0,"/m/03qtwd,/m/053hz1",True,False
62716,0-fkDb9_MAo,10.0,20.0,/m/028ght,True,False
63016,0-ygGIzPk6Y,30.0,40.0,"/m/028ght,/m/09x0r",True,False
63034,0-zs3dCBvDE,340.0,350.0,/m/053hz1,True,False
63672,00dUipBeYCI,0.0,10.0,"/m/03qtwd,/m/053hz1,/t/dd00135",True,False
63827,00o8HgbaaGk,60.0,70.0,"/m/04rlf,/m/053hz1",True,False
64090,015djWravO0,50.0,60.0,"/m/03qtwd,/m/053hz1,/t/dd00135",True,False
64114,0174CGJr3ys,30.0,40.0,"/m/04rlf,/m/053hz1,/m/09x0r",True,False
64121,017ouLQvpXk,0.0,10.0,"/m/03qtwd,/m/053hz1",True,False
64178,01C4o4DcNK4,30.0,40.0,"/m/028ght,/m/09x0r",True,False
64287,01JgEc8wbdk,470.0,480.0,"/m/03qtwd,/m/053hz1",True,False
64418,01SvT7xW52E,30.0,40.0,"/m/028ght,/m/03qtwd,/m/04rlf,/m/053hz1,/m/09x0r,/m/0c1dj,/m/0l15bq",True,False
64536,01ZNEvcaGRY,30.0,40.0,"/m/028ght,/m/03qtwd,/m/0c1dj",True,False
64915,01xWUhvZisc,30.0,40.0,"/m/028ght,/m/04rlf",True,False
65118,0292kQJnKos,30.0,40.0,"/m/053hz1,/m/09x0r",True,False
65219,02Fov8Y7NcQ,120.0,130.0,"/m/015lz1,/m/04rlf,/m/053hz1,/m/09x0r",True,False
66884,03wteHHdPnY,170.0,180.0,"/m/028ght,/m/09x0r",True,False
66903,03yEj4oRUjU,90.0,100.0,"/m/02lkt,/m/04rlf,/m/053hz1,/m/0m0jc",True,False
67276,04MagM7sg2o,390.0,400.0,"/m/053hz1,/m/09x0r",True,False
67372,04TYhV8SKZ0,30.0,40.0,"/m/04rlf,/m/053hz1",True,False
68015,056bjwaug2Y,100.0,110.0,"/m/03qtwd,/m/04rlf,/m/053hz1",True,False
69092,06JVJbOIFno,0.0,10.0,"/m/028ght,/m/09x0r",True,False
70389,07gGeI7LT9s,430.0,440.0,"/m/028ght,/m/04rlf",True,False
70412,07hihaUb9tg,30.0,40.0,"/m/04rlf,/m/053hz1,/m/09x0r",True,False
70923,08GFUY-gH68,30.0,40.0,"/m/03qtwd,/m/053hz1",True,False
72609,0A1yGUCnne0,20.0,30.0,"/m/03qtwd,/m/053hz1,/m/09x0r",True,False
72794,0ADb-RidJ2w,220.0,230.0,"/m/04rlf,/m/053hz1",True,False
72848,0AHLFpzzdfw,22.0,32.0,"/m/028ght,/m/04rlf,/m/09x0r",True,False
73014,0AQvDc3w0S0,190.0,200.0,"/m/03qtwd,/m/04rlf,/m/053hz1,/m/09x0r",True,False
73108,0AXM87EPqU0,30.0,40.0,"/m/01b9nn,/m/028ght,/m/04rlf,/m/07qfr4h",True,False
73239,0AfDg-XdZic,300.0,310.0,"/m/028ght,/m/09x0r",True,False
73251,0Ag0Nd-R60I,60.0,70.0,/m/053hz1,True,False
73396,0ArhYp7vur0,30.0,40.0,"/m/028ght,/m/09x0r",True,False
73403,0AsXkZkqelg,30.0,40.0,/m/028ght,True,False
74030,0BYLFnzWlmE,110.0,120.0,"/m/026z9,/m/053hz1",True,False
74350,0BtXezW-VGI,10.0,20.0,/m/053hz1,True,False
74997,0CahCF_csFE,30.0,40.0,/m/028ght,True,False
75274,0CrjK7JES8s,590.0,600.0,"/m/028ght,/m/09x0r",True,False
76422,0E82FHMpTBA,200.0,210.0,"/m/03qtwd,/m/053hz1",True,False
76562,0EGpbwyUgOc,15.0,25.0,/m/053hz1,True,False
76730,0ER_Y6kiDDc,230.0,240.0,"/m/028ght,/m/04rlf,/m/04szw,/m/05148p4,/m/05r5c,/m/09x0r",True,False
76916,0EcfL54lGUA,30.0,40.0,"/m/028ght,/m/053hz1,/m/09x0r",True,False
77285,0F06QDlG8nY,60.0,70.0,"/m/03qtwd,/m/053hz1,/t/dd00135",True,False
78087,0Ft06J1FdAo,420.0,430.0,"/m/03qtwd,/m/053hz1",True,False
79121,0H0G3l850yY,100.0,110.0,/m/028ght,True,False
79573,0HVDh_UQRRk,30.0,40.0,"/m/053hz1,/m/09x0r",True,False
80165,0I8KA1HUlBo,30.0,40.0,"/m/03qtwd,/m/04rlf,/m/053hz1,/m/09x0r",True,False
80427,0IQ3lxVgKxo,30.0,40.0,"/m/028ght,/m/09x0r,/m/0l15bq",True,False
81135,0JAGPDtKZ68,350.0,360.0,/m/053hz1,True,False
82057,0KA9j9PPH60,16.0,26.0,"/m/028ght,/m/03qtwd,/m/0c1dj",True,False
82062,0KAWU10UO1o,0.0,10.0,"/m/028ght,/m/09x0r",True,False
82084,0KC6sQV_oKU,30.0,40.0,"/m/03qtwd,/m/053hz1,/t/dd00135",True,False
82408,0KXjLAI9kh8,30.0,40.0,"/m/03qtwd,/m/053hz1",True,False
